date,time,open,high,low,close,volume
2025.04.23,21:00,143.236,143.493,143.23,143.431,8332
2025.04.23,22:00,143.437,143.484,143.241,143.388,7946
2025.04.23,23:00,143.393,143.572,143.38,143.435,4526
2025.04.24,00:00,143.435,143.435,143.02,143.123,718
2025.04.24,01:00,143.108,143.179,142.877,143.107,3841
2025.04.24,02:00,143.106,143.275,143.043,143.188,5597
2025.04.24,03:00,143.187,143.335,142.856,142.943,8805
2025.04.24,04:00,142.953,143.076,142.701,142.754,8287
2025.04.24,05:00,142.753,142.809,142.595,142.774,6922
2025.04.24,06:00,142.772,142.894,142.736,142.86,5963
2025.04.24,07:00,142.861,142.913,142.716,142.75,4131
2025.04.24,08:00,142.747,142.954,142.723,142.779,5927
2025.04.24,09:00,142.778,142.88,142.656,142.687,6735
2025.04.24,10:00,142.688,142.739,142.54,142.576,7413
2025.04.24,11:00,142.576,142.734,142.491,142.627,8505
2025.04.24,12:00,142.628,142.693,142.416,142.447,5448
2025.04.24,13:00,142.448,142.508,142.299,142.487,6709
2025.04.24,14:00,142.483,142.627,142.344,142.587,5662
2025.04.24,15:00,142.586,142.629,142.279,142.399,7847
2025.04.24,16:00,142.398,142.581,142.314,142.495,8966
2025.04.24,17:00,142.496,142.601,142.269,142.469,10257
2025.04.24,18:00,142.469,142.77,142.442,142.65,8986
2025.04.24,19:00,142.645,142.789,142.562,142.64,6023
2025.04.24,20:00,142.642,142.826,142.615,142.782,4980
2025.04.24,21:00,142.779,142.833,142.71,142.721,3987
2025.04.24,22:00,142.721,142.729,142.48,142.692,3739
2025.04.24,23:00,142.692,142.737,142.518,142.599,2630
2025.04.25,00:00,142.598,142.668,142.493,142.629,433
2025.04.25,01:00,142.665,142.788,142.635,142.709,2483
2025.04.25,02:00,142.708,142.923,142.687,142.849,3786
2025.04.25,03:00,142.85,143.112,142.81,143.06,6896
2025.04.25,04:00,143.061,143.1,142.904,142.961,5591
2025.04.25,05:00,142.962,142.978,142.82,142.965,4756
2025.04.25,06:00,142.962,143.663,142.883,143.642,7773
2025.04.25,07:00,143.642,143.793,143.562,143.609,6530
2025.04.25,08:00,143.611,143.794,143.504,143.617,5061
2025.04.25,09:00,143.618,143.847,143.429,143.532,6693
2025.04.25,10:00,143.533,143.681,143.218,143.394,8580
2025.04.25,11:00,143.393,143.516,143.241,143.414,6748
2025.04.25,12:00,143.417,143.63,143.229,143.607,5600
2025.04.25,13:00,143.602,143.725,143.245,143.298,8239
2025.04.25,14:00,143.298,143.383,143.215,143.368,4807
2025.04.25,15:00,143.366,143.42,143.295,143.408,5927
2025.04.25,16:00,143.409,143.866,143.402,143.746,9387
2025.04.25,17:00,143.746,143.985,143.614,143.976,9986
2025.04.25,18:00,143.975,144.026,143.728,143.743,5951
2025.04.25,19:00,143.744,143.813,143.676,143.809,3753
2025.04.25,20:00,143.808,143.845,143.436,143.52,5435
2025.04.25,21:00,143.519,143.629,143.451,143.55,5159
2025.04.25,22:00,143.552,143.652,143.488,143.645,5179
2025.04.25,23:00,143.642,143.837,143.627,143.682,2540
2025.04.28,00:00,143.553,143.746,143.432,143.578,397
2025.04.28,01:00,143.587,143.872,143.582,143.774,2954
2025.04.28,02:00,143.775,143.873,143.711,143.849,3105
2025.04.28,03:00,143.848,143.853,143.475,143.484,7018
2025.04.28,04:00,143.485,143.711,143.333,143.705,5640
2025.04.28,05:00,143.705,143.856,143.642,143.685,4197
2025.04.28,06:00,143.687,143.699,143.502,143.58,2730
2025.04.28,07:00,143.581,143.638,143.311,143.319,3891
2025.04.28,08:00,143.32,143.534,143.285,143.489,3836
2025.04.28,09:00,143.49,143.849,143.488,143.825,5549
2025.04.28,10:00,143.825,143.891,143.615,143.625,5797
2025.04.28,11:00,143.629,143.706,143.527,143.545,6010
2025.04.28,12:00,143.536,143.572,143.323,143.445,5598
2025.04.28,13:00,143.449,143.501,143.377,143.457,4568
2025.04.28,14:00,143.456,143.541,143.337,143.37,3992
2025.04.28,15:00,143.371,143.374,143.141,143.34,5333
2025.04.28,16:00,143.341,143.435,143.057,143.08,7706
2025.04.28,17:00,143.08,143.122,142.592,142.846,10231
2025.04.28,18:00,142.847,142.878,142.635,142.701,7575
2025.04.28,19:00,142.699,142.709,142.265,142.33,5389
2025.04.28,20:00,142.328,142.37,142.122,142.358,4658
2025.04.28,21:00,142.359,142.383,142.107,142.121,3833
2025.04.28,22:00,142.12,142.157,142.032,142.062,3336
2025.04.28,23:00,142.061,142.098,141.97,141.987,2285
2025.04.29,00:00,141.956,142.077,141.951,142.054,226
2025.04.29,01:00,142.06,142.219,142.007,142.209,1997
2025.04.29,02:00,142.208,142.311,142.074,142.171,3092
2025.04.29,03:00,142.18,142.277,142.059,142.24,5441
2025.04.29,04:00,142.241,142.432,142.13,142.406,4932
2025.04.29,05:00,142.414,142.421,142.117,142.374,4925
2025.04.29,06:00,142.374,142.484,142.309,142.428,4742
2025.04.29,07:00,142.428,142.575,142.404,142.522,3196
2025.04.29,08:00,142.524,142.544,142.375,142.444,3632
2025.04.29,09:00,142.445,142.551,142.297,142.465,5298
2025.04.29,10:00,142.481,142.525,142.337,142.383,6633
2025.04.29,11:00,142.386,142.607,142.316,142.582,5601
2025.04.29,12:00,142.58,142.749,142.524,142.739,4507
2025.04.29,13:00,142.735,142.751,142.643,142.651,3559
2025.04.29,14:00,142.652,142.752,142.585,142.732,3760
2025.04.29,15:00,142.726,142.752,142.246,142.302,6215
2025.04.29,16:00,142.302,142.361,142.043,142.186,8404
2025.04.29,17:00,142.187,142.39,142.001,142.362,11008
2025.04.29,18:00,142.366,142.37,142.125,142.293,7053
2025.04.29,19:00,142.295,142.296,141.963,142.041,6656
2025.04.29,20:00,142.042,142.299,142.002,142.283,4450
2025.04.29,21:00,142.283,142.376,142.247,142.281,4522
2025.04.29,22:00,142.281,142.374,142.198,142.305,3299
2025.04.29,23:00,142.31,142.443,142.251,142.26,2540
2025.04.30,00:00,142.234,142.256,142.104,142.226,613
2025.04.30,01:00,142.242,142.362,142.198,142.257,1859
2025.04.30,02:00,142.254,142.321,142.153,142.255,2622
2025.04.30,03:00,142.245,142.506,142.163,142.426,6267
2025.04.30,04:00,142.426,142.455,142.226,142.439,4838
2025.04.30,05:00,142.44,142.545,142.356,142.455,3763
2025.04.30,06:00,142.454,142.526,142.322,142.513,3023
2025.04.30,07:00,142.518,142.549,142.414,142.509,2556
2025.04.30,08:00,142.507,142.542,142.447,142.496,2200
2025.04.30,09:00,142.496,142.709,142.489,142.571,4411
2025.04.30,10:00,142.57,142.882,142.569,142.794,5072
2025.04.30,11:00,142.801,142.942,142.708,142.904,4349
2025.04.30,12:00,142.905,143.15,142.866,143.101,3430
2025.04.30,13:00,143.098,143.106,143.001,143.058,3071
2025.04.30,14:00,143.06,143.13,142.893,143.007,3412
2025.04.30,15:00,143.006,143.043,142.681,142.809,9455
2025.04.30,16:00,142.81,142.905,142.631,142.666,8857
2025.04.30,17:00,142.666,143.037,142.573,142.631,11156
2025.04.30,18:00,142.628,142.936,142.492,142.622,9985
2025.04.30,19:00,142.621,142.758,142.588,142.668,5507
2025.04.30,20:00,142.669,142.841,142.596,142.834,3952
2025.04.30,21:00,142.835,143.001,142.757,142.769,5947
2025.04.30,22:00,142.766,142.976,142.713,142.904,4176
2025.04.30,23:00,142.905,143.186,142.893,143.043,4837
2025.05.01,00:00,143.002,143.021,142.873,142.925,878
2025.05.01,01:00,142.943,143.073,142.933,143.013,2518
2025.05.01,02:00,143.014,143.078,142.951,143.02,2158
2025.05.01,03:00,143.017,143.037,142.87,143.001,4577
2025.05.01,04:00,142.997,143.238,142.985,143.192,3350
2025.05.01,05:00,143.193,143.209,143.054,143.083,2727
2025.05.01,06:00,143.083,143.751,142.948,143.682,6245
2025.05.01,07:00,143.688,143.895,143.686,143.872,3441
2025.05.01,08:00,143.873,144.246,143.866,144.045,5864
2025.05.01,09:00,144.049,144.588,143.996,144.579,7521
2025.05.01,10:00,144.576,144.739,144.3,144.362,7040
2025.05.01,11:00,144.362,144.386,144.143,144.208,4899
2025.05.01,12:00,144.21,144.428,144.116,144.385,3815
2025.05.01,13:00,144.384,144.42,144.238,144.271,3158
2025.05.01,14:00,144.268,144.551,144.145,144.472,5890
2025.05.01,15:00,144.473,144.761,144.145,144.704,8812
2025.05.01,16:00,144.706,144.795,144.513,144.52,9938
2025.05.01,17:00,144.519,145.493,144.509,145.347,11176
2025.05.01,18:00,145.344,145.65,145.218,145.468,7753
2025.05.01,19:00,145.472,145.534,145.345,145.39,5851
2025.05.01,20:00,145.391,145.571,145.354,145.528,4385
